"member","variable","h","point","lo90","hi90","origin_date"
"combo_equal","cash_rate",12,3.81741742482555,1.45310026705617,6.21286354652264,2026-01-01
"combo_logscore","gdp_growth",1,0.447954855560056,-0.450957645908242,1.15363022121677,2026-01-01
"combo_logscore","gdp_growth",2,0.504943583143483,-0.33891051290237,1.35315451685821,2026-01-01
"combo_logscore","gdp_growth",3,0.529673435098007,-0.322745025268181,1.4840335527439,2026-01-01
"combo_logscore","gdp_growth",4,0.553586263158768,-0.546671775586581,1.52471030295344,2026-01-01
"combo_logscore","gdp_growth",5,0.569181817963441,-0.56867750102076,1.72438501003873,2026-01-01
"combo_logscore","gdp_growth",6,0.555635998196551,-0.648208273505192,1.44404437650524,2026-01-01
"combo_logscore","gdp_growth",7,0.578111746803366,-0.448329884552073,1.40900892509142,2026-01-01
"combo_logscore","gdp_growth",8,0.577543145781383,-0.58332335423515,1.83498817104724,2026-01-01
"combo_logscore","gdp_growth",9,0.510573540532127,-0.702600983112564,1.61267843528039,2026-01-01
"combo_logscore","gdp_growth",10,0.573907443983661,-0.567399523757403,1.89779986249915,2026-01-01
"combo_logscore","gdp_growth",11,0.566850962619855,-0.755440629844244,2.05431539306219,2026-01-01
"combo_logscore","gdp_growth",12,0.527064732650414,-0.787362081017886,1.96442427652787,2026-01-01
"combo_logscore","cpi_inflation",1,0.804329222523497,0.564690117424397,1.13816289574601,2026-01-01
"combo_logscore","cpi_inflation",2,0.771255590028239,0.437687223758205,1.18889803232771,2026-01-01
"combo_logscore","cpi_inflation",3,0.802019631195326,0.379031529669466,1.34148888909633,2026-01-01
"combo_logscore","cpi_inflation",4,0.795153247224132,0.251239999257051,1.30877093084856,2026-01-01
"combo_logscore","cpi_inflation",5,0.758232607624008,0.141436236311066,1.36597232050802,2026-01-01
"combo_logscore","cpi_inflation",6,0.749373096640866,0.155513348601443,1.39076940125749,2026-01-01
"combo_logscore","cpi_inflation",7,0.731487566754731,0.0785909801427584,1.45634924166632,2026-01-01
"combo_logscore","cpi_inflation",8,0.729318255406701,0.0193408455657065,1.52918562892135,2026-01-01
"combo_logscore","cpi_inflation",9,0.735441323328015,-0.0767509397217867,1.70764888440536,2026-01-01
"combo_logscore","cpi_inflation",10,0.706251697509274,-0.06194869202649,1.73888609471512,2026-01-01
"combo_logscore","cpi_inflation",11,0.68676878514394,-0.196549908322215,1.58134722839712,2026-01-01
"combo_logscore","cpi_inflation",12,0.715473746246295,-0.297271737884742,1.7380281428751,2026-01-01
"combo_logscore","unemp_rate",1,4.22244761589432,3.93793378954177,4.50342609231994,2026-01-01
"combo_logscore","unemp_rate",2,4.27215018765806,3.85101432815982,4.80416081309734,2026-01-01
"combo_logscore","unemp_rate",3,4.31926402367793,3.65135532933284,5.0797465677399,2026-01-01
"combo_logscore","unemp_rate",4,4.35285330523876,3.58150620187248,5.04171042821558,2026-01-01
"combo_logscore","unemp_rate",5,4.35985640972074,3.55026096328757,5.26145817513869,2026-01-01
"combo_logscore","unemp_rate",6,4.38205646306299,3.28153649845564,5.32107629030161,2026-01-01
"combo_logscore","unemp_rate",7,4.41847491518334,3.2726792722898,5.36573685399699,2026-01-01
"combo_logscore","unemp_rate",8,4.39662228847641,3.31842269098955,5.6336019793051,2026-01-01
"combo_logscore","unemp_rate",9,4.48359665416884,3.28419376231115,5.4940191119258,2026-01-01
"combo_logscore","unemp_rate",10,4.48215205633399,3.20287832013464,5.64421376818351,2026-01-01
"combo_logscore","unemp_rate",11,4.50463480076937,3.27245850863842,5.75450665717287,2026-01-01
"combo_logscore","unemp_rate",12,4.47858777941112,3.06404189729207,5.81492638946724,2026-01-01
"combo_logscore","cash_rate",1,3.88232097445554,3.42016080596021,4.35465566143958,2026-01-01
"combo_logscore","cash_rate",2,3.83432534853465,3.08493425407655,4.57550970428556,2026-01-01
"combo_logscore","cash_rate",3,3.79142970154629,2.72624469432917,4.75708492591606,2026-01-01
"combo_logscore","cash_rate",4,3.80414189537097,2.59311448816974,4.94311512103049,2026-01-01
"combo_logscore","cash_rate",5,3.80726543310037,2.39554860689272,5.45234503049683,2026-01-01
"combo_logscore","cash_rate",6,3.91060360090012,2.09323494351939,5.33226203188755,2026-01-01
"combo_logscore","cash_rate",7,3.9383022734758,1.92032445432228,5.41696278946238,2026-01-01
"combo_logscore","cash_rate",8,3.8397819538155,2.03590825969449,5.60150095233563,2026-01-01
"combo_logscore","cash_rate",9,3.85980840567611,1.66723038028187,5.9190146638924,2026-01-01
"combo_logscore","cash_rate",10,3.6884163077638,1.59524958306979,6.14502555482632,2026-01-01
"combo_logscore","cash_rate",11,3.90621497232815,1.47306402677556,6.11284804897168,2026-01-01
"combo_logscore","cash_rate",12,3.72310523769821,1.15450169705615,5.98343918175122,2026-01-01
"combo_crps","gdp_growth",1,0.545045335667321,-0.263500108868086,1.5071119127368,2026-01-01
"combo_crps","gdp_growth",2,0.586177336823156,-0.238654645737898,1.45869026950765,2026-01-01
