"run","member","window","h","crps","logdens"
"lp","small_ss","other_origins",4,0.412548375357859,-Inf
"none","small_ss","other_origins",4,0.422710235909735,-Inf
"lp","small_sv","other_origins",4,0.41911794703276,-9.50336438233559
"none","small_sv","other_origins",4,0.41911794703276,-9.50336438233559
"lp","small_tight","other_origins",4,0.387958544125896,-9.64135756126203
"none","small_tight","other_origins",4,0.391176969862476,-9.67194488944912
"lp","ucmean","other_origins",4,0.866346535947094,-Inf
"none","ucmean","other_origins",4,0.869364667471342,-Inf
"lp","ucsv","other_origins",4,0.387748603632766,-4.66092690696194
"none","ucsv","other_origins",4,0.387748603632766,-4.66092690696194
"lp","ar4","covid_origins",5,0.772859888981182,-4.02238283183864
"none","ar4","covid_origins",5,0.81802187037997,-5.03157388414636
"lp","combo_bma","covid_origins",5,1.08719999125387,-2.58383990849392
"none","combo_bma","covid_origins",5,1.14395204010432,-2.92171169236422
"lp","combo_equal","covid_origins",5,0.725456099049737,-1.78107128440989
"none","combo_equal","covid_origins",5,0.750539021087109,-1.96734238164958
"lp","combo_logscore","covid_origins",5,0.88333960273919,-2.04208532062202
"none","combo_logscore","covid_origins",5,0.943740806068271,-2.31080909178263
"lp","combo_pool","covid_origins",5,0.823351869136603,-2.02685609998168
"none","combo_pool","covid_origins",5,0.870049308084315,-2.27370712286296
"lp","medium_conj","covid_origins",5,0.870755637618278,-13.6651959731125
"none","medium_conj","covid_origins",5,0.873209194412839,-12.3234316744677
"lp","medium_minn","covid_origins",5,0.830053323429762,-3.43693587857534
"none","medium_minn","covid_origins",5,0.830053323429762,-3.43693587857534
"lp","rw","covid_origins",5,0.995184853338601,-3.2927643441941
"none","rw","covid_origins",5,1.06100172862445,-4.21736593991368
"lp","small_loose_p5","covid_origins",5,0.782002389992297,-8.75025807123646
"none","small_loose_p5","covid_origins",5,0.86203029197271,-9.27654726600765
"lp","small_minn","covid_origins",5,0.774643733091868,-11.039117788593
"none","small_minn","covid_origins",5,0.816424752381265,-10.8674417254302
"lp","small_ss","covid_origins",5,0.738991919966597,-9.88611614909291
"none","small_ss","covid_origins",5,0.777700593694508,-10.6631990578143
"lp","small_sv","covid_origins",5,0.769436773486782,-3.59835197143951
"none","small_sv","covid_origins",5,0.769436773486782,-3.59835197143951
"lp","small_tight","covid_origins",5,0.835503355663008,-10.4230010329965
"none","small_tight","covid_origins",5,0.874654042839176,-11.4456377695935
"lp","ucmean","covid_origins",5,0.921970530210882,-3.31532895108525
"none","ucmean","covid_origins",5,0.951301719812371,-4.48524777458279
"lp","ucsv","covid_origins",5,0.91066972995364,-7.46195995173429
"none","ucsv","covid_origins",5,0.91066972995364,-7.46195995173429
"lp","ar4","other_origins",5,0.489488951138358,-11.4757165709298
"none","ar4","other_origins",5,0.489639138428294,-11.4949489202719
"lp","combo_bma","other_origins",5,0.488338492108801,-1.81341044706408
"none","combo_bma","other_origins",5,0.477870317917406,-1.79965981162528
"lp","combo_equal","other_origins",5,0.450039306199477,-1.35506237383304
"none","combo_equal","other_origins",5,0.45418225981396,-1.37512916592961
"lp","combo_logscore","other_origins",5,0.46955078340629,-1.5116549940513
"none","combo_logscore","other_origins",5,0.468856685165322,-1.51495893677852
"lp","combo_pool","other_origins",5,0.459542299575222,-1.48950493121652
"none","combo_pool","other_origins",5,0.461152530524618,-1.4955619384112
"lp","medium_conj","other_origins",5,0.418195069811188,-Inf
"none","medium_conj","other_origins",5,0.425668599004986,-Inf
"lp","medium_minn","other_origins",5,0.424210953000024,-7.08428723291918
"none","medium_minn","other_origins",5,0.424210953000024,-7.08428723291918
"lp","rw","other_origins",5,0.453956175323559,-1.82260412642645
"none","rw","other_origins",5,0.467429664589131,-1.84256972669372
"lp","small_loose_p5","other_origins",5,0.52060925560417,-9.31751060580958
"none","small_loose_p5","other_origins",5,0.523007853313527,-9.34877356473419
"lp","small_minn","other_origins",5,0.44025579018463,-Inf
"none","small_minn","other_origins",5,0.447918660564584,-Inf
"lp","small_ss","other_origins",5,0.472278418609783,-Inf
"none","small_ss","other_origins",5,0.481107879028146,-Inf
"lp","small_sv","other_origins",5,0.484818278103145,-8.2586400287158
"none","small_sv","other_origins",5,0.484818278103145,-8.2586400287158
"lp","small_tight","other_origins",5,0.434375257458479,-Inf
"none","small_tight","other_origins",5,0.43685305696983,-Inf
