"member","variable","measure","h","logdens","crps","rmse"
"combo_crps","cash_rate","q",3,-0.959961791342168,0.364915647129447,0.705706155733465
"combo_crps","cash_rate","q",4,-1.2675352280873,0.501635214607384,0.941265574846547
"combo_crps","cash_rate","q",5,-1.52158070444862,0.64506911198497,1.18326562614018
"combo_crps","cash_rate","q",6,-1.71262151617968,0.788512540085596,1.39539684974033
"combo_crps","cash_rate","q",7,-1.86145336548215,0.914189430792699,1.58979503642811
"combo_crps","cash_rate","q",8,-1.98558994732124,1.0210276073485,1.76875313829087
"combo_crps","cash_rate","q",9,-2.113740971112,1.14183845784793,1.96005217531956
"combo_crps","cpi_inflation","cum",10,-2.5627720335213,1.74667491840111,3.29077367000126
"combo_crps","cpi_inflation","cum",11,-2.7288746136933,1.94938306821564,3.62048740783013
"combo_crps","cpi_inflation","cum",12,-2.89517997467629,2.15650673861524,3.94756767275875
"combo_crps","cpi_inflation","cum",2,-0.435956417935715,0.256278240338468,0.548108155719141
"combo_crps","cpi_inflation","cum",3,-0.853398557981868,0.401774185265306,0.863281944944173
"combo_crps","cpi_inflation","cum",4,-1.17370166092357,0.555192189610642,1.18843428095765
"combo_crps","cpi_inflation","cum",5,-1.44593916035884,0.733354769985603,1.54088782807188
"combo_crps","cpi_inflation","cum",6,-1.674825151228,0.914034403734148,1.88258523726929
"combo_crps","cpi_inflation","cum",7,-1.92139076267304,1.10750993821537,2.23697454965823
"combo_crps","cpi_inflation","cum",8,-2.14925947436158,1.31153082286583,2.58833854215247
"combo_crps","cpi_inflation","cum",9,-2.37849718236397,1.52666159289724,2.94697240002773
"combo_crps","cpi_inflation","q",1,0.112193380100943,0.133683760033048,0.272725612318179
"combo_crps","cpi_inflation","q",10,-0.613280043071123,0.237616271888469,0.463190352183632
"combo_crps","cpi_inflation","q",11,-0.640641466031541,0.242307667076549,0.459208515015589
"combo_crps","cpi_inflation","q",12,-0.670779149942463,0.244471427113919,0.455824038991739
"combo_crps","cpi_inflation","q",2,0.0195943842590438,0.150036916568805,0.316467377140074
"combo_crps","cpi_inflation","q",3,-0.0667610640779289,0.167809946410328,0.353124419288214
"combo_crps","cpi_inflation","q",4,-0.144633832603051,0.181941033668323,0.378046325498818
"combo_crps","cpi_inflation","q",5,-0.219236611001888,0.193867443471135,0.401337302012563
"combo_crps","cpi_inflation","q",6,-0.325514874711987,0.206200750019007,0.418925114685143
"combo_crps","cpi_inflation","q",7,-0.457391000956682,0.217114734649765,0.440253747029427
"combo_crps","cpi_inflation","q",8,-0.507104764541907,0.225462751575837,0.450928384948698
"combo_crps","cpi_inflation","q",9,-0.562818726383382,0.235168179911674,0.4631226847642
"combo_crps","cpi_inflation","ye",1,0.112193380100943,0.134012616724212,0.272725612318179
"combo_crps","cpi_inflation","ye",10,-1.92480311409197,0.878486818729871,1.7237491491242
"combo_crps","cpi_inflation","ye",11,-1.96772644167661,0.90379412953251,1.74381106483615
"combo_crps","cpi_inflation","ye",12,-2.01048845042852,0.932668848995951,1.74744347324413
