"member","variable","measure","h","logdens","crps","rmse"
"combo_bma","gdp_growth","q",11,-1.03033403048043,0.302712563754007,0.648934158222546
"combo_bma","gdp_growth","q",12,-1.02497863034453,0.302717276050989,0.653239620549416
"combo_bma","gdp_growth","q",2,-0.677552829225354,0.278773124860255,0.602074357678594
"combo_bma","gdp_growth","q",3,-0.703400379850035,0.284251964371579,0.615149324755835
"combo_bma","gdp_growth","q",4,-0.71183547080099,0.287228568113978,0.607753311489478
"combo_bma","gdp_growth","q",5,-0.824835262575259,0.293155204093848,0.611280601599869
"combo_bma","gdp_growth","q",6,-0.88868362768489,0.299130915528067,0.645409286292713
"combo_bma","gdp_growth","q",7,-1.4963535965866,0.302962940505586,0.637756636445489
"combo_bma","gdp_growth","q",8,-1.07851545135471,0.299199863947132,0.631488733130203
"combo_bma","gdp_growth","q",9,-1.07370007424252,0.295372924668465,0.63210007214127
"combo_bma","gdp_growth","ye",1,-0.636295673987878,0.270074447869078,0.592889225413687
"combo_bma","gdp_growth","ye",10,-1.58810527878475,0.613337604778768,1.08187144976286
"combo_bma","gdp_growth","ye",11,-1.6110728803137,0.601670480672806,1.05560155608289
"combo_bma","gdp_growth","ye",12,-1.55869776568703,0.591539623009857,1.03920198431936
"combo_bma","gdp_growth","ye",2,-1.00298503671897,0.365500773736653,0.72309001456216
"combo_bma","gdp_growth","ye",3,-1.27235822628658,0.473091785171263,0.864954327836808
"combo_bma","gdp_growth","ye",4,-1.52145438305244,0.609413601805651,1.10706383375243
"combo_bma","gdp_growth","ye",5,-1.59837828615233,0.623676624895631,1.11528276241022
"combo_bma","gdp_growth","ye",6,-1.5989641154337,0.629094051449921,1.14155065029902
"combo_bma","gdp_growth","ye",7,-1.60433182211799,0.625325508670602,1.15234962979549
"combo_bma","gdp_growth","ye",8,-1.62734865990157,0.639073604576685,1.15492324639641
"combo_bma","gdp_growth","ye",9,-1.60995334249522,0.613421792550278,1.12850049459608
"combo_bma","unemp_rate","q",1,0.402165627214672,0.0863483746583974,0.153061319380258
"combo_bma","unemp_rate","q",10,-1.68971128914184,0.614404503269894,1.04113393287894
"combo_bma","unemp_rate","q",11,-1.74592886095724,0.641812775145928,1.05812627413171
"combo_bma","unemp_rate","q",12,-1.78033149692817,0.648245462080474,1.06307117903561
"combo_bma","unemp_rate","q",2,-0.0991525324074729,0.147610359264235,0.270419730539476
"combo_bma","unemp_rate","q",3,-0.469482357627871,0.221626225059011,0.423445758875235
"combo_bma","unemp_rate","q",4,-0.739150999319569,0.292915894476882,0.559300417984685
"combo_bma","unemp_rate","q",5,-0.949516343895154,0.410219646827831,0.808123419276695
"combo_bma","unemp_rate","q",6,-1.08291330773539,0.45545482102791,0.879136108299283
"combo_bma","unemp_rate","q",7,-1.21593853580385,0.498987774461365,0.942521271529498
"combo_bma","unemp_rate","q",8,-1.31898482976055,0.536554101799664,0.995868929616632
"combo_bma","unemp_rate","q",9,-1.60142309118651,0.591728592267652,1.02202283773367
"combo_crps","cash_rate","q",1,0.0838780446805504,0.124178056694112,0.256519742720672
"combo_crps","cash_rate","q",10,-2.23794590995033,1.26848323623204,2.17368927287972
"combo_crps","cash_rate","q",11,-2.33787667269947,1.39678690916969,2.33238590710112
"combo_crps","cash_rate","q",12,-2.41649143876361,1.48345557120741,2.47606573690752
"combo_crps","cash_rate","q",2,-0.564718763537353,0.239862609748161,0.480935293089672
"combo_crps","cash_rate","q",3,-0.96738165274933,0.368120428320012,0.711536912953083
"combo_crps","cash_rate","q",4,-1.27449059670948,0.504325286914306,0.952955127511994
"combo_crps","cash_rate","q",5,-1.53401452868329,0.657287745190292,1.20527507242044
"combo_crps","cash_rate","q",6,-1.72046727709676,0.799075279988591,1.41879530140916
"combo_crps","cash_rate","q",7,-1.8659824562079,0.921410954369818,1.61456500665104
"combo_crps","cash_rate","q",8,-1.99403218290268,1.03213916123697,1.79478700390405
"combo_crps","cash_rate","q",9,-2.12891374175209,1.15486819788209,1.99599375477722
"combo_crps","cpi_inflation","cum",10,-2.64049683427328,1.85522409696622,3.46596008055346
"combo_crps","cpi_inflation","cum",11,-2.82720317902863,2.08298432748705,3.82099026916134
"combo_crps","cpi_inflation","cum",12,-3.0142347655316,2.31637273326046,4.17285241872511
"combo_crps","cpi_inflation","cum",2,-0.427672036868968,0.262919399312144,0.568286602335628
"combo_crps","cpi_inflation","cum",3,-0.881118732789956,0.419658322584001,0.901876356621912
"combo_crps","cpi_inflation","cum",4,-1.21681070353987,0.584136525702514,1.24473183599657
"combo_crps","cpi_inflation","cum",5,-1.49613678016597,0.77566662910314,1.6158133443734
"combo_crps","cpi_inflation","cum",6,-1.72550109639697,0.967701409892769,1.97642239877414
"combo_crps","cpi_inflation","cum",7,-1.97129853267278,1.17179768080316,2.34988720095302
"combo_crps","cpi_inflation","cum",8,-2.20299129549827,1.38550073014998,2.72042734828895
"combo_crps","cpi_inflation","cum",9,-2.44415647609973,1.62198868207373,3.10012349513888
"combo_crps","cpi_inflation","q",1,0.161458127550227,0.132109997939009,0.275835497033008
"combo_crps","cpi_inflation","q",10,-0.682794035996175,0.251128664400141,0.484212674323505
"combo_crps","cpi_inflation","q",11,-0.715988420635653,0.255582223173744,0.480008270495072
"combo_crps","cpi_inflation","q",12,-0.743156514202339,0.258748489498873,0.476391800780729
"combo_crps","cpi_inflation","q",2,0.0244958282169495,0.153337533380549,0.32652072360414
"combo_crps","cpi_inflation","q",3,-0.0876046091306769,0.174170714657582,0.366638983236816
